name,classification,election_name,election_date,description,created_at,updated_at,ocd_contest_id,ocd_election_id,calaccess_measure_id
"SB 3 (CHAPTER 365, STATUTES OF 2017), BEALL. VETERANS AND AFFORDABLE HOUSING BOND ACT OF 2018.",ballot measure,2018 GENERAL,2018-11-06,"",2017-11-08 16:42:01.523275+00,2017-11-08 16:42:01.523297+00,ocd-contest/af6bf281-2832-4535-ab06-5bdd1f4c54ad,ocd-election/939fae9d-cf35-438c-89ee-931063275696,1400044
"ACA 17 (RESOLUTION CHAPTER 190, STATUTES OF 2017), MULLIN. BALLOT MEASURES: EFFECTIVE DATE.",ballot measure,2018 PRIMARY,2018-06-05,"",2017-11-08 16:42:01.361874+00,2019-05-09 13:53:28.975584+00,ocd-contest/0c2a8aed-5728-4445-9410-cfb3fb31eb84,ocd-election/0f7a6b2f-b7c8-4c52-af8e-797208c0599c,1400043
"ACA 1 (RESOLUTION CHAPTER 105, STATUTES OF 2017), MAYES. GREENHOUSE GAS REDUCTION RESERVE FUND.",ballot measure,2018 PRIMARY,2018-06-05,"",2017-11-08 16:42:01.420578+00,2019-05-09 13:53:28.987811+00,ocd-contest/95204483-e7ab-45ba-a966-f77f29cc8906,ocd-election/0f7a6b2f-b7c8-4c52-af8e-797208c0599c,1400041
"ACA 5 (RESOLUTION CHAPTER 30, STATUTES OF 2017), FRAZIER. MOTOR VEHICLE FEES AND TAXES: RESTRICTION ON EXPENDITURES: APPROPRIATIONS LIMIT.",ballot measure,2018 PRIMARY,2018-06-05,"",2017-11-08 16:42:01.455466+00,2019-05-09 13:53:28.999951+00,ocd-contest/bfba9916-7da5-4806-9812-baf32ce0ffaf,ocd-election/0f7a6b2f-b7c8-4c52-af8e-797208c0599c,1400040
"PROPOSITION 072 - SCA 9 (RESOLUTION CHAPTER 1, STATUTES OF 2018), GLAZER. PROPERTY TAX: NEW CONSTRUCTION EXCLUSION: RAIN WATER CAPTURE SYSTEM.",ballot measure,2018 PRIMARY,2018-06-05,"",2018-02-02 16:43:23.560682+00,2019-05-09 13:53:28.435744+00,ocd-contest/98d2af38-4dd8-4461-99a1-e274145783c5,ocd-election/0f7a6b2f-b7c8-4c52-af8e-797208c0599c,1401953
"SB 5 (CHAPTER 852, STATUTES OF 2017), DE LEON. CALIFORNIA DROUGHT, WATER, PARKS, CLIMATE, COASTAL PROTECTION, AND OUTDOOR ACCESS FOR ALL ACT OF 2018.",ballot measure,2018 PRIMARY,2018-06-05,"",2017-11-08 16:42:01.489348+00,2019-05-09 13:53:28.448096+00,ocd-contest/6aa84df2-ff80-4ccb-9b03-2ded1cd45af4,ocd-election/0f7a6b2f-b7c8-4c52-af8e-797208c0599c,1400042
PROPOSITION 051 - SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE STATUTORY AMENDMENT.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.268353+00,2017-10-25 02:25:11.268373+00,ocd-contest/f0b1e5e8-e48e-4443-a83e-3f4dfffe4a4f,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1376258
PROPOSITION 052 - STATE FEES ON HOSPITALS. FEDERAL MEDI-CAL MATCHING FUNDS. INITIATIVE STATUTORY AND CONSTITUTIONAL AMENDMENT.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.296806+00,2017-10-25 02:25:11.296826+00,ocd-contest/690738d0-b07c-4674-9bf6-88b14546753b,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1362198
PROPOSITION 053 - REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.324864+00,2017-10-25 02:25:11.324884+00,ocd-contest/603cc9ae-eaa8-4304-bfaf-699b19323114,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1376142
PROPOSITION 054 - LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.353072+00,2017-10-25 02:25:11.353092+00,ocd-contest/ddc0c1bc-3ed4-4c32-9da6-993496bdab40,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381642
PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.381729+00,2017-10-25 02:25:11.381751+00,ocd-contest/b75483b3-8e92-4b19-9dae-829723a683f7,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1382647
"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.410338+00,2017-10-25 02:25:11.410359+00,ocd-contest/68cc7714-0bfa-4278-a903-857338224222,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381640
PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.438828+00,2017-10-25 02:25:11.438848+00,ocd-contest/15a01530-a643-427a-bb24-a671e0ec253f,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1383319
"PROPOSITION 058 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",ballot measure,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.467947+00,2017-10-25 02:25:11.46798+00,ocd-contest/9fc00473-640f-4287-8046-d664f0f2af25,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1382395
"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",ballot measure,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.497288+00,2017-10-25 02:25:11.497308+00,ocd-contest/fd863b4a-8407-4685-a117-f3513827b930,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1386783
PROPOSITION 060- ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.526237+00,2017-10-25 02:25:11.526257+00,ocd-contest/e70c4b85-7ef6-43e1-9d18-42d944ff4552,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1376195
PROPOSITION 061- STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.555573+00,2017-10-25 02:25:11.555593+00,ocd-contest/88dcdc41-22f4-4632-b696-2ad0e03a4649,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1377343
PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.584746+00,2017-10-25 02:25:11.584766+00,ocd-contest/a5b9ee0c-67b1-46ce-b261-b998a66ce482,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381268
PROPOSITION 063- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,ballot measure,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.614153+00,2017-10-25 02:25:11.614173+00,ocd-contest/b761ba0d-a7c4-4b7d-91df-2440a2bf512e,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381803
PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.642933+00,2017-10-25 02:25:11.642953+00,ocd-contest/b551d550-c6c9-485b-ae12-5af8648a2718,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381868
PROPOSITION 065- CARRY-OUT BAGS. CHARGES. INITIATIVE STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.670583+00,2017-10-25 02:25:11.670604+00,ocd-contest/c5b6a702-a7e5-4b57-a379-4038e99fd04b,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381520
PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,initiative,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.698419+00,2017-10-25 02:25:11.698439+00,ocd-contest/b18ddb82-86fa-4f53-9f35-50522c858bd2,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1381724
PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,referendum,2016 GENERAL,2016-11-08,"",2017-10-25 02:25:11.727396+00,2017-10-25 02:25:11.727416+00,ocd-contest/207573a6-c2f5-45ba-971a-a25433ef087c,ocd-election/c3c93cf9-3c53-4880-85ec-9f06e3b32121,1372638
"PROPOSITION 050 - SCA 17 (RESOLUTION CHAPTER 127, STATUTES OF 2014), STEINBERG. MEMBERS OF THE LEGISLATURE: SUSPENSION",ballot measure,2016 PRIMARY,2016-06-07,"",2017-10-25 02:25:11.240854+00,2017-10-25 02:25:11.240874+00,ocd-contest/95788f0e-6569-43c0-a8b4-cef60cf484b5,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,1382394
"PROPOSITION 001 - AB 1471 WATER QUALITY, SUPPLY AND INFRASTRUCTURE IMPROVEMENT ACT OF 2014",ballot measure,2014 GENERAL,2014-11-04,"",2017-10-25 02:25:10.707137+00,2017-10-25 02:25:10.707157+00,ocd-contest/c2cb9d5f-b4fe-4595-8db6-a5c66e618680,ocd-election/ff56a0e0-aad7-416d-80a5-a659941d1a7a,1369617
PROPOSITION 002 - STATE RESERVE POLICY.,ballot measure,2014 GENERAL,2014-11-04,"",2017-10-25 02:25:10.73533+00,2017-10-25 02:25:10.73535+00,ocd-contest/b4df4577-6b74-49a2-b089-af0dd3a4aecf,ocd-election/ff56a0e0-aad7-416d-80a5-a659941d1a7a,1339806
PROPOSITION 045 - APPROVAL OF HEALTHCARE INSURANCE RATE CHANGES. INITIATIVE STATUTE.,initiative,2014 GENERAL,2014-11-04,"",2017-10-25 02:25:10.763575+00,2017-10-25 02:25:10.763596+00,ocd-contest/cb022d8e-61b9-4fa5-b797-1a452228a06c,ocd-election/ff56a0e0-aad7-416d-80a5-a659941d1a7a,1343429
PROPOSITION 046 - DRUG AND ALCOHOL TESTING OF DOCTORS. MEDICAL NEGLIGENCE LAWSUITS. INITIATIVE STATUTE.,initiative,2014 GENERAL,2014-11-04,"",2017-10-25 02:25:10.7913+00,2017-10-25 02:25:10.79132+00,ocd-contest/d8d82ad1-8663-4694-9425-feccd4ee6326,ocd-election/ff56a0e0-aad7-416d-80a5-a659941d1a7a,1361585
