name,party_name,election_name,election_date,office,is_incumbent,special_election,created_at,updated_at,ocd_person_id,ocd_candidacy_id,ocd_election_id,ocd_post_id,ocd_contest_id,ocd_party_id,latest_calaccess_filer_id,calaccess_filer_id_count,latest_form501_filing_id,form501_filing_count
KAMALA D. HARRIS,DEMOCRATIC,2026 PRIMARY,2026-06-02,Governor,,f,2017-10-30 23:54:23.795175+00,2017-10-30 23:54:23.824374+00,ocd-person/717b9339-bcaa-437d-8e36-b8417ce02325,ocd-candidacy/320f9fb9-1f0a-44b1-84c0-a07fa54fc771,ocd-election/b0d7be16-6f9e-4c5e-a537-c32167bbdbf8,ocd-post/b63d25d2-aff0-4afb-9dd1-e99474c8eb13,ocd-contest/d33b6822-b3b9-4ed5-97db-19c3f16718aa,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1313503,1,2149075,1
RAJIV DALAL,DEMOCRATIC,2026 PRIMARY,2026-06-02,Lieutenant Governor,,f,2017-10-30 23:53:58.104137+00,2017-10-30 23:53:58.136437+00,ocd-person/b3a7a574-0b7c-4f1c-9c08-c68aabeef412,ocd-candidacy/7fac375c-011f-4bcf-b3f1-749eee7bbe81,ocd-election/b0d7be16-6f9e-4c5e-a537-c32167bbdbf8,ocd-post/3497cad1-e09e-4731-97c7-338b76746800,ocd-contest/5ca2421a-6acd-4d5a-924e-0fbb8e7387ab,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1376272,1,2053509,1
JIMMY GOMEZ,DEMOCRATIC,2026 PRIMARY,2026-06-02,Lieutenant Governor,,f,2017-10-30 23:54:25.942073+00,2017-10-30 23:54:25.973413+00,ocd-person/f446bd3c-d19b-435c-9fa1-fe2165dfcd52,ocd-candidacy/14e643a7-aaa5-4243-917c-10238cf20222,ocd-election/b0d7be16-6f9e-4c5e-a537-c32167bbdbf8,ocd-post/3497cad1-e09e-4731-97c7-338b76746800,ocd-contest/5ca2421a-6acd-4d5a-924e-0fbb8e7387ab,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1334135,1,2181321,1
BILL LOCKYER,DEMOCRATIC,2022 PRIMARY,2022-06-07,Controller,,f,2018-03-19 04:47:07.972677+00,2018-03-19 04:47:08.005192+00,ocd-person/fc172c9c-069a-4981-bb76-a52b004a1910,ocd-candidacy/15a8e47b-1a2a-41f7-83f6-a0a627b13c00,ocd-election/f69bfdc3-72b0-4125-8dcf-40a56f55cc1d,ocd-post/147f525a-4caa-4a15-ba71-b7260498ea2c,ocd-contest/2d4cc437-cecf-4951-ad6f-b92475cf7b8f,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1000654,1,2201288,1
JOHN A. PEREZ,DEMOCRATIC,2022 PRIMARY,2022-06-07,Lieutenant Governor,,f,2017-10-30 23:53:47.749057+00,2017-10-30 23:53:47.780872+00,ocd-person/5da11996-26f5-4b60-a6ff-95d760badbb4,ocd-candidacy/7d57e357-db8d-4bb0-8c2d-0dd1265e293d,ocd-election/f69bfdc3-72b0-4125-8dcf-40a56f55cc1d,ocd-post/3497cad1-e09e-4731-97c7-338b76746800,ocd-contest/fc547f9a-7b67-46d7-8083-7f9070da27a6,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1304250,1,2181318,1
MIKE GATTO,DEMOCRATIC,2022 PRIMARY,2022-06-07,Lieutenant Governor,,f,2017-12-08 23:45:59.198268+00,2017-12-08 23:45:59.229734+00,ocd-person/f9ecdcb7-163b-4871-8495-054067c4ccc4,ocd-candidacy/77323c8f-4798-4b07-bcd0-a08476cfaf9e,ocd-election/f69bfdc3-72b0-4125-8dcf-40a56f55cc1d,ocd-post/3497cad1-e09e-4731-97c7-338b76746800,ocd-contest/fc547f9a-7b67-46d7-8083-7f9070da27a6,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1005008,1,2197035,1
JAMES W. SILVA,REPUBLICAN,2022 PRIMARY,2022-06-07,State Senate 34,,f,2017-10-25 02:26:07.003425+00,2017-10-25 02:26:07.032436+00,ocd-person/d3d6c7c8-9dd1-4844-ac46-5d1d61038b07,ocd-candidacy/330fae87-429c-44f0-a97d-12641e74c42d,ocd-election/f69bfdc3-72b0-4125-8dcf-40a56f55cc1d,ocd-post/2a28ec6a-80f2-4c0f-b4c5-9b99ab61b98a,ocd-contest/5d72c16f-f46f-470f-b2c4-65f428b3b1a4,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1241308,1,2164579,1
CARLOS VILLAPUDUA,DEMOCRATIC,2020 PRIMARY,2020-06-02,Assembly 13,,f,2018-03-19 04:46:54.893635+00,2018-03-19 04:46:54.92675+00,ocd-person/a0e6b0f8-4bf6-4e01-9b35-31f54bf622f7,ocd-candidacy/11757896-fffd-4f1d-8236-ef1a026967c4,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/5e78d50b-adf1-419d-92a2-5499af4314b0,ocd-contest/fcd4bac0-ce7d-4d40-bfc1-07b05fa71356,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1402100,1,2214633,1
JERRY A. HILL,DEMOCRATIC,2020 PRIMARY,2020-06-02,Assembly 22,,f,2017-10-25 02:25:30.203634+00,2017-10-25 02:25:30.233342+00,ocd-person/53f3c3b7-4863-46ac-8ec7-538554313532,ocd-candidacy/e102ce08-c899-447f-94e4-cceb23fb3cdc,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/cc2f1ec1-c2e8-4781-afc0-e7ad91948562,ocd-contest/3c95948a-f95c-498b-b08b-2d581d4f2a49,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1290757,1,2109122,1
GEORGE SHEN,REPUBLICAN,2020 PRIMARY,2020-06-02,Assembly 29,,f,2017-10-25 02:26:12.523763+00,2017-10-25 02:26:12.552283+00,ocd-person/0b49931d-9aee-4602-b2de-8d41bfc6579f,ocd-candidacy/ce479a3c-ddcc-4dc9-8ebe-f0d8635ce3bf,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/dd40b443-3550-4b7d-9a6e-c053aaafbb96,ocd-contest/ab3a6474-d6c6-405b-bc36-25fb77ac85a0,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1230198,1,2179783,1
MICHAEL L. MORRELL,REPUBLICAN,2020 PRIMARY,2020-06-02,Assembly 40,,f,2017-10-25 02:26:20.09135+00,2017-10-25 02:26:20.121291+00,ocd-person/b3651598-8371-42c9-a299-8b7238e044ed,ocd-candidacy/c1371a2c-b035-4c11-ac85-5f17401bf865,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/f1bb258d-8987-4b7c-b092-4454cfcbfcef,ocd-contest/16484401-f9f8-437a-9a0c-2ed564304f57,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1252076,1,2137955,1
RICARDO LARA,DEMOCRATIC,2020 PRIMARY,2020-06-02,Assembly 58,,f,2017-10-25 02:26:02.037867+00,2017-10-25 02:26:03.995461+00,ocd-person/a88fb79a-ed2d-40d8-9406-b0501e25b81f,ocd-candidacy/18ff1bc2-053d-4568-b3fa-358282b9115d,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/aff24ff4-67ca-4b86-a652-9bdc0e958b17,ocd-contest/4f2386d2-558c-45db-a274-017944c7d026,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1304215,1,1775526,2
EFREN MARTINEZ,DEMOCRATIC,2020 PRIMARY,2020-06-02,Assembly 59,,f,2017-10-25 02:26:05.664395+00,2017-10-25 02:26:35.551225+00,ocd-person/754b2f92-97d6-407c-a8b7-621723d20d24,ocd-candidacy/8dd388e9-921d-452f-841c-5d04848e6f7d,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/8f18609e-0877-4bf3-bdb8-aa0b1d4dba30,ocd-contest/03c2b96f-ca3f-4def-8f6f-ec1ace9c7da2,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1341750,1,2036482,2
PHIL GRAHAM,REPUBLICAN,2020 PRIMARY,2020-06-02,Assembly 76,,f,2017-10-25 02:25:21.814869+00,2017-10-25 02:25:21.844464+00,ocd-person/39144c17-7cf0-4594-ad10-1669b1fd6c08,ocd-candidacy/3828d0fd-1f25-4bb0-8811-bca741a8f695,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/c24fd805-77dd-4592-821d-636e3e311510,ocd-contest/96de97e9-96f0-4281-8673-b380ada3b9db,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1377031,1,2053470,1
SCOTT D. WIENER,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 11,t,f,2017-10-25 02:26:27.798562+00,2017-10-25 02:26:27.827001+00,ocd-person/3bb54abc-dd36-48af-b6a3-980988795a1d,ocd-candidacy/cbdde63d-e879-4425-b050-aa345ffef511,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/632f3078-bed2-4c34-9c1a-e07f326dcf08,ocd-contest/b72ddb51-590b-4781-a254-10e46eb241f7,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1376435,1,2109359,1
RICHARD S. GORDON,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 13,,f,2017-10-25 02:25:54.956479+00,2017-10-25 02:25:54.985822+00,ocd-person/9e7473b4-90df-4e3e-a251-9867ba8ffc7e,ocd-candidacy/8bb94e31-cab6-4437-881e-a81e3c7ea741,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/121d6cb8-174d-4fd8-a0b8-06baa5a3e8a9,ocd-contest/84a15b55-8916-4083-abfa-22ee53601666,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1316724,1,1925433,1
SHELLY MASUR,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 13,,f,2017-12-08 23:45:56.858395+00,2017-12-08 23:45:56.891533+00,ocd-person/b9a49647-bd7d-4427-a5cd-c34585aca901,ocd-candidacy/2cb38c67-af3e-47ec-9a34-366f70cf8840,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/121d6cb8-174d-4fd8-a0b8-06baa5a3e8a9,ocd-contest/84a15b55-8916-4083-abfa-22ee53601666,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1400161,1,2196266,1
NORA CAMPOS,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 15,,f,2017-10-25 02:25:29.03095+00,2017-10-25 02:25:29.06094+00,ocd-person/68fcef8f-4a02-4bc7-b423-5ab3f3739052,ocd-candidacy/51d9becb-ca51-4708-8914-8a90c6243118,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/93abbba1-3817-45d3-a154-2be143408f5e,ocd-contest/4bad5d96-4bb9-4146-b9dd-8e2ab721e4aa,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1318599,1,1970229,1
MADISON NGUYEN,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 15,,f,2017-10-25 02:26:35.023871+00,2017-10-25 02:26:35.052669+00,ocd-person/75c67ce9-62b6-4fc2-a5d6-f4550138a82e,ocd-candidacy/cf28926d-8674-4cb9-af3d-42f6f0464612,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/93abbba1-3817-45d3-a154-2be143408f5e,ocd-contest/4bad5d96-4bb9-4146-b9dd-8e2ab721e4aa,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1376419,1,2151411,1
DAVID D. CORTESE,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 15,,f,2018-03-19 04:35:10.575057+00,2018-03-19 04:35:10.608183+00,ocd-person/92e91c0b-12db-424d-99cc-e6d2dc2b333f,ocd-candidacy/54db45e2-ab53-4bf6-ae95-e38434f2962c,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/93abbba1-3817-45d3-a154-2be143408f5e,ocd-contest/4bad5d96-4bb9-4146-b9dd-8e2ab721e4aa,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1004970,1,2215416,1
DAS WILLIAMS,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 19,,f,2017-10-25 02:26:28.104945+00,2017-10-25 02:26:28.135162+00,ocd-person/3024a521-ce2b-4897-b0b7-84cbf6196817,ocd-candidacy/bf6224ed-c8e3-4b5f-920a-b0945e9d4dc2,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/15898f77-38e1-426c-913b-f4d462b176ba,ocd-contest/0c63b37a-ec84-43a9-aaab-69b6965b926c,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1316434,1,1938814,1
SCOTT T. WILK,REPUBLICAN,2020 PRIMARY,2020-06-02,State Senate 21,t,f,2017-10-25 02:26:13.296011+00,2017-10-25 02:26:13.325812+00,ocd-person/0aba25ea-404b-4256-823b-8a9f90957522,ocd-candidacy/a08bcd75-3d94-45c1-aadb-dae128586858,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/4c323c95-319e-4699-b3ad-4b8503e3bd11,ocd-contest/63a3ff6e-279b-4a4f-8303-992a5cff1206,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1339656,1,2109129,1
MICHAEL L. MORRELL,REPUBLICAN,2020 PRIMARY,2020-06-02,State Senate 23,t,f,2017-10-25 02:26:42.775035+00,2017-10-25 02:26:42.804946+00,ocd-person/b3651598-8371-42c9-a299-8b7238e044ed,ocd-candidacy/d7cbe33e-5195-4e0e-a46a-ab5232582249,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/db473397-cb0b-4d12-b378-69c651b0ed9f,ocd-contest/658346db-9502-4b41-b68d-2f7ec0d4577b,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1252076,1,2114007,1
ANTHONY PORTANTINO,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 25,t,f,2017-10-25 02:25:42.888577+00,2017-10-25 02:25:42.919303+00,ocd-person/9477430b-fe6c-41d6-843c-9719a19c37b4,ocd-candidacy/803825e5-ed26-465b-9ae8-ec4301b032a6,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/b10317d7-5ea6-4ce1-9bdd-5c98078bd6cd,ocd-contest/b4d0a599-c937-460a-baa2-03b8c059e4a1,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1267043,1,2110675,1
HENRY STERN,DEMOCRATIC,2020 PRIMARY,2020-06-02,State Senate 27,t,f,2017-10-25 02:26:53.746326+00,2017-10-25 02:26:53.775416+00,ocd-person/522842d0-201a-4e4c-a5ec-ee2a7b2ffc1e,ocd-candidacy/c4295b71-3551-480a-ba4b-a93856bc08b0,ocd-election/4c554927-6638-4a28-9f83-ecf553ebe311,ocd-post/d1ab25e4-7a80-4408-82db-16c585889df1,ocd-contest/9362686e-48ab-4086-ac20-2857ae8c0020,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1374151,1,2109128,1
